,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Popularity,added_at
0,24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",0.721,0.745,7,-3.508,0,0.0366,0.151,1.24e-06,0.372,0.699,90.988,audio_features,6FuGJB290AQMAHTfjOYVaK,spotify:track:6FuGJB290AQMAHTfjOYVaK,https://api.spotify.com/v1/tracks/6FuGJB290AQMAHTfjOYVaK,https://api.spotify.com/v1/audio-analysis/6FuGJB290AQMAHTfjOYVaK,192745,4,70.0,2020-11-06T12:57:10Z
1,Bad Bunny,Dakiti,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4,93.0,2020-10-30T16:53:56Z
2,Ariana Grande,off the table (with The Weeknd),0.555,0.523,0,-7.289,1,0.0666,0.513,0,0.402,0.389,100.57,audio_features,0K2UmT0JOcEaLssWda2703,spotify:track:0K2UmT0JOcEaLssWda2703,https://api.spotify.com/v1/tracks/0K2UmT0JOcEaLssWda2703,https://api.spotify.com/v1/audio-analysis/0K2UmT0JOcEaLssWda2703,239949,4,70.0,2020-10-30T04:51:32Z
3,Rihanna,Stay - Album Version (Edited),0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,audio_features,789CxjEOtO76BVD1A9yJQH,spotify:track:789CxjEOtO76BVD1A9yJQH,https://api.spotify.com/v1/tracks/789CxjEOtO76BVD1A9yJQH,https://api.spotify.com/v1/audio-analysis/789CxjEOtO76BVD1A9yJQH,240707,4,67.0,2020-10-27T02:44:48Z
4,jxdn,Angels & Demons,0.554,0.8,8,-3.936,1,0.0395,0.119,0,0.629,0.463,115.056,audio_features,4GUj9MfPPkjpZskxb45uiX,spotify:track:4GUj9MfPPkjpZskxb45uiX,https://api.spotify.com/v1/tracks/4GUj9MfPPkjpZskxb45uiX,https://api.spotify.com/v1/audio-analysis/4GUj9MfPPkjpZskxb45uiX,160120,4,77.0,2020-10-25T18:50:36Z
5,Shalom Margaret,July,0.423,0.287,11,-8.897,0,0.0415,0.939,0,0.118,0.36,123.048,audio_features,0DDuOQYsfvhjSuTJ4ucFRu,spotify:track:0DDuOQYsfvhjSuTJ4ucFRu,https://api.spotify.com/v1/tracks/0DDuOQYsfvhjSuTJ4ucFRu,https://api.spotify.com/v1/audio-analysis/0DDuOQYsfvhjSuTJ4ucFRu,167938,4,44.0,2020-10-24T04:05:11Z
6,Alex Isley,Good & Plenty,0.658,0.619,9,-7.316,0,0.0772,0.788,0.0667,0.0951,0.354,136.077,audio_features,1VAKnb1btGrQXcVZVSRkPe,spotify:track:1VAKnb1btGrQXcVZVSRkPe,https://api.spotify.com/v1/tracks/1VAKnb1btGrQXcVZVSRkPe,https://api.spotify.com/v1/audio-analysis/1VAKnb1btGrQXcVZVSRkPe,204706,4,65.0,2020-10-19T01:38:07Z
7,Phora,Stars In The Sky (feat. Jhené Aiko),0.636,0.418,4,-10.536,1,0.0316,0.503,0,0.113,0.347,96.132,audio_features,4gKCKkQbtejYebL9Km5cu1,spotify:track:4gKCKkQbtejYebL9Km5cu1,https://api.spotify.com/v1/tracks/4gKCKkQbtejYebL9Km5cu1,https://api.spotify.com/v1/audio-analysis/4gKCKkQbtejYebL9Km5cu1,253202,3,66.0,2020-10-17T17:23:29Z
8,JP Saxe,A Little Bit Yours,0.598,0.295,1,-8.553,1,0.0276,0.735,0,0.107,0.314,87.025,audio_features,00cBcYOlnHoXX9ver3cmdE,spotify:track:00cBcYOlnHoXX9ver3cmdE,https://api.spotify.com/v1/tracks/00cBcYOlnHoXX9ver3cmdE,https://api.spotify.com/v1/audio-analysis/00cBcYOlnHoXX9ver3cmdE,225680,4,74.0,2020-10-17T17:19:51Z
9,Ty Dolla $ign,By Yourself (feat. Jhené Aiko & Mustard),0.757,0.536,1,-6.818,1,0.0466,0.0836,0,0.645,0.205,103.931,audio_features,71hBQ9qHsZU2M3vDF8MtaN,spotify:track:71hBQ9qHsZU2M3vDF8MtaN,https://api.spotify.com/v1/tracks/71hBQ9qHsZU2M3vDF8MtaN,https://api.spotify.com/v1/audio-analysis/71hBQ9qHsZU2M3vDF8MtaN,148988,4,75.0,2020-10-16T22:43:33Z
10,Tate McRae,lie to me,0.642,0.392,4,-7.846,0,0.0372,0.0151,0,0.352,0.0479,138.065,audio_features,4f9IfFvBFm7Gsf1IVEudyf,spotify:track:4f9IfFvBFm7Gsf1IVEudyf,https://api.spotify.com/v1/tracks/4f9IfFvBFm7Gsf1IVEudyf,https://api.spotify.com/v1/audio-analysis/4f9IfFvBFm7Gsf1IVEudyf,177440,4,79.0,2020-10-16T22:08:57Z
11,Rihanna,Love On The Brain,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,audio_features,5oO3drDxtziYU2H1X23ZIp,spotify:track:5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/tracks/5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/audio-analysis/5oO3drDxtziYU2H1X23ZIp,224000,3,80.0,2020-10-16T04:31:19Z
12,Rihanna,Needed Me,0.671,0.314,5,-8.091,0,0.244,0.11,0,0.0825,0.296,110.898,audio_features,4pAl7FkDMNBsjykPXo91B3,spotify:track:4pAl7FkDMNBsjykPXo91B3,https://api.spotify.com/v1/tracks/4pAl7FkDMNBsjykPXo91B3,https://api.spotify.com/v1/audio-analysis/4pAl7FkDMNBsjykPXo91B3,191600,4,79.0,2020-10-16T04:30:08Z
13,Rihanna,Woo,0.42,0.466,9,-5.298,1,0.0326,0.0546,0.00389,0.298,0.185,115.004,audio_features,3HQcsqRjRdruUjkbDSgmVF,spotify:track:3HQcsqRjRdruUjkbDSgmVF,https://api.spotify.com/v1/tracks/3HQcsqRjRdruUjkbDSgmVF,https://api.spotify.com/v1/audio-analysis/3HQcsqRjRdruUjkbDSgmVF,235587,4,59.0,2020-10-16T04:30:02Z
14,Claire Rosinkranz,Backyard Boy,0.819,0.642,5,-7.037,1,0.189,0.336,0,0.0735,0.452,138.026,audio_features,0y9fkzOaaQy4Up22BGUbIp,spotify:track:0y9fkzOaaQy4Up22BGUbIp,https://api.spotify.com/v1/tracks/0y9fkzOaaQy4Up22BGUbIp,https://api.spotify.com/v1/audio-analysis/0y9fkzOaaQy4Up22BGUbIp,129241,4,54.0,2020-10-15T23:59:42Z
15,Trippie Redd,Excitement,0.474,0.681,4,-3.473,0,0.038,0.0263,4.27e-05,0.0972,0.0384,121.96,audio_features,3WnTQDd9A3bpBfzCziElU9,spotify:track:3WnTQDd9A3bpBfzCziElU9,https://api.spotify.com/v1/tracks/3WnTQDd9A3bpBfzCziElU9,https://api.spotify.com/v1/audio-analysis/3WnTQDd9A3bpBfzCziElU9,283270,4,80.0,2020-10-11T12:26:28Z
16,Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",0.676,0.615,6,-7.534,0,0.0496,0.0384,0,0.341,0.883,163.993,audio_features,2NVt7fxr5GsqTkGwYXcNTE,spotify:track:2NVt7fxr5GsqTkGwYXcNTE,https://api.spotify.com/v1/tracks/2NVt7fxr5GsqTkGwYXcNTE,https://api.spotify.com/v1/audio-analysis/2NVt7fxr5GsqTkGwYXcNTE,176675,4,64.0,2020-10-10T14:26:39Z
17,Shawn Mendes,Wonder,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,audio_features,5KCbr5ndeby4y4ggthdiAb,spotify:track:5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/tracks/5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/audio-analysis/5KCbr5ndeby4y4ggthdiAb,172693,4,92.0,2020-10-07T23:36:48Z
18,Lewis Capaldi,Bruises,0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,audio_features,4Of7rzpRpV1mWRbhp5rAqG,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,https://api.spotify.com/v1/tracks/4Of7rzpRpV1mWRbhp5rAqG,https://api.spotify.com/v1/audio-analysis/4Of7rzpRpV1mWRbhp5rAqG,220492,4,84.0,2020-10-02T12:29:59Z
